Year,Clutch,DoneStage,DoneAge
2015,254,6,99
2015,255,6,99
2015,256,5,99
2015,257,5,99
2015,258,6,105
2015,259,5,102
2015,262,7,111
2015,263,6,102
2015,264,6,99
2015,265,6,96
2015,266,6,105
2016,111,6,108
2016,112,6,108
2016,113,5.5,105
2016,114,6.5,114
2016,115,6,108
2016,116,6,108
2016,117,6,111
2016,118,6,111
2016,119,6,111
2016,120,6,108
2016,121,5.5,105
